full_text,label;;;;
hari ini masih keingetan terus nonton film jumbo kemarin. setiap adegan bagus nangis padahal adegan bagusnya gak selalu sedih. secondhand bangga pasti dedikasinya luar biasa ya orang-orang di balik layar padahal kenal juga engga sama mereka wkwk aaa keren puol~,sedih;;;;
ratung film jumbo dari aku 8 5/10 baguss gezz walaupun sebagian besar yang nonton bocil tapi menurutku seruuuuu,senang;;;;
exactly gw nangisin si jumbo ini mix feeling bgt akumulasi dari ceritanya yg ngena bgt buat gw perasaan bangga indo bisa bikin animasi sekeren ini dan kedekatan antara tiap aspek di film ini dgn realitas kita sbg manusia indonesia. bener2 best!,sedih;;;;
bener bener nungguin banget ini nonton film jumbo,senang;;;;
karena sodara2 ada yg kerja di industri film dan sinefil lebaran ngobrolin jaff taun lalu oscar sama diskusi film jumbo berakhir dengan janjian nonton jumbo awalnya niat cuma bertiga ujung2nya sekeluarga besar nobar jumbo di bioskop ️,senang;;;;
semoga jumbo adlh langkah awal utk melahirkan jumbo jumbo lainnya... come on man gw nontonnya tadi siang jam 2 an sampe jam segini masih kebawa pulang vibes di film itu... perasaan waktu nonton td msh menggema di dlm kepala... ,senang;;;;
sumpah gua mau nonton jumbo trailernya oke banget untuk film animasi 3d indo,senang;;;;
kak dwii terima kasih!! seru banget nih lebaran nobar film jumbo sekeluargaa salam buat kakak freya dan adek ilss ⭐️,senang;;;;
bangun tidur siang langsung ke bioskop. ojek nya lamaaa banget gak dapet-dapet maklum lebaran pas nyampe langsung beli tiket buat nonton film jumbo. habis filmnya kelar masih dengan mata sembab habis nangis antri beli tiket qodrat 2 eh pulangnya susah dapet ojek lagi ,sedih;;;;
abis nonton jumbo awal pertengahan film ngerasa si don sama si dontol tu org yg sama,senang;;;;
terima kasih kak kevin sudah meramaikan film jumbo di hari pertama tayang ⭐️,senang;;;;
2 dari 5 film lebaran udah ditonton. jumbo dan qodrat 2 memuaskan!! tinggal pabrik gula dan komang. kalo norma masih ragu nontonnya ‍️,senang;;;;
demi allah gue fomo film jumbo:((((,senang;;;;
film jumbo bagusssssss ,senang;;;;
stop the yap gw langsung rating aja film jumbo ini. 9 8/10⭐ sumpah keren banget. doa gw film ini bisa tembus 10 juta penonton (aamiin) ayo rayain film ini guys tepuk tangan yang banyak buat seluruh kru dan yang mengusahakan sempurnanya film ini sampe bisa kita nikmati ,senang;;;;
short review utk jumbo (penilaian personal awam). secara teknis sejak ntn animasi visinema terakhir (nussa rara) perkembangannya di jumbo keliatan drastis bgt dr mulai grafis sampe pengambilan scenenya. secara cerita sangat mudah dicerna (yaiyalah film anak2). buat yg,senang;;;;
yang ga kalah keren adalah gimana jumbo bisa mengeluarkan sisi emosional dengan sangat rapi dan enggak maksa. sama penggunaan elemen komedi yang bisa dibilang brilian pas banget porsinya dan tepat bikin satu studio ketawa. overall bagus dan seru banget! 10/10 buat film jumbo!,senang;;;;
td aku nonton jumbo i came early jd nunggu lah ya di depan pintu studio theaternya kebetulan musik yang kesetel lagu-lagunya sal priadi lalu ada 1 keluarga dateng.. salah satu anaknya keliatan excited bgt gitu dan minta foto di depan poster film jumbo ini lucu bgt dia tu tadi,senang;;;;
dan liat kambing² jadi awan mereka ngakak banget. oh ya sama scene kejar² di akhir film itu pada seru banget pada teriak kecil ayo cepetan ambil ayo cepet lari ayo ayo . tp pak ini gimana nyalainnya itu sebioskop ngakak semua. jumbo seru banget. gengnya don gemes banget!,senang;;;;
gile admin film jumbo gak ada istirahatnya mereply komentar soal film jumbo semangat selalu kak admin! ,senang;;;;
memamg aplikasi tiktok diluar logika lagi orang-orang banyak yg nyuruh nonton film jumbo malah dikira buzzer anjir... gak semua hal itu buzzer kocak emang dasar pikiran lu negatif terus aja dan kalo emang gak mau nonton ya udah diem biarin orang ngasih tau saran filmnya..,marah;;;;
#jumbo gokil banget demi allah gua ready jadi buzzer ni film,senang;;;;
list film wajib nonton bulan ini 1. jumbo 2. komang 3. pabrik gula sikattt otw bioskop pak,senang;;;;
lucu bangettt! salam untuk mamanya yaa makasih udah jadi buzzer gratis film jumbo sampe ke grup pkk ,senang;;;;
alasan kenapa ingin sekali nonton jumbo karena pengen ngajak bocil nonton film bagus di bioskop ,senang;;;;
penonton kita masih sangat amat skeptis sama animasi. kalaupun diboost marketingnya jumbo. tetap aja gak bakalan terlalu signifikan menurutku. penonton kita masih suka film seru seruan dengan label yang lebih general.,senang;;;;
sebelum mulai filmmya gue bnrn takut bakal lebih mewek nonton jumbo daripada dedek2 di depan gue. ternyata emang ini film dewasa jadi target nangisnya adalah gw dan seumuran gw ,sedih;;;;
gua mau jadi buzzer film jumbo dulu,senang;;;;
eh penasaran dah ama film jumbo ituuuu animasinya bagus bgt gue pikir pixar bjir,senang;;;;
bukti kalau film jumbo juga bisa dicerna sama anak-anak jadi yuk kita berbondong-bondong bawa krucils buat jumbokan bioskop sekarang juga! ⭐️,senang;;;;
mungkin ini akan jadi honest review setelah nonton jumbo pas nonton gue gue ngerasa animasi indonesia tuh punya harapan ya. visual kek gini semoga jadi benchmark buat film animasi indo lainnya. dubbing &amp; scoringnya juga mantapp,senang;;;
ih pengen nonton film jumbo,senang;;;;
jumbo tu keren banget deh sumpah film animation indonesia yang dibuat 5 tahun hasilnya gatau sih blm nonton wkkwkw tp banyak yg so dan bahkan tambah layar bukan kurangin layar,senang;;;;
jumbo ni film mahal bro film mahal,senang;;;;
salah satu scene terbaik di film jumbo,senang;;;;
kemaren abis nonton jumbo sama anak-anak worth to watch. anak-anak seneng banget sampai pengen nonton lagi. please ph mulai serius garap film animasi anak berkualitas keluarga muda dgn anak usia tk-sd butuh lebih banyak family time.,senang;;;;
gue sebenarnya penggemar berat spiderman..... tapi berhubung gue udah boikot marvel jadi gue mending nonton film jumbo. ,senang;;;;
aku bisa ngmg gini karena nontonnya sama anakku sih. intinya aku puas bgt sama filmnya. even aku berterima kasih sudah bikin film sebagus jumbo. love you jumbo ,senang;;;;
banyak film tayang wei mending nonton pabrik gula komang atau jumbo ,senang;;;;
sesama animator saling support terhadap film jumbo sedangkan wapres kite milih nganu,senang;;;;
jumbo sap sap sap moment adalah adegan paling bikin ngakak sepanjang film.,senang;;;;
akhirnya hari ini nonton jumbo yang jadi film animasi indonesia pertama yang gue tonton. masuk tanpa ekspektasi apa pun dan wow gue dibuat kagum sama visual cerita dan voice acting dari semua cast members-nya. a story of love lost &amp; friendship that resonates w/ everyone ,senang;;;
ayo nonton jumbo &amp; qodrat 2 kualitas keduanya sangat beda levelnya dengan pabrik gula bahkan nggak fair kalo dibandingin karena emang kedua film itu jauh lebih bagus,marah;;;
maap tbtb nimbrung tp yu gais nonton jumbo asliii film nya bagus apalagi animasinya beneran manjain mata dan kyk masa sih ini bikinan orang indo krn sebagus ituuu,senang;;;;
jujur lucu &amp; bagus bgt alurnya jg rapiihh animasinya gemesin lagunya baguuusss : gue kebayang bakal cinta mati sama film ini kl nonton sebagai bocil yg suka bgt film2 kartun yg terasa magical. ayo guys nonton jumbo ajakin ponakan &amp; sepupu klen,senang;;
terharu habis nonton film jumbo bangga bgt sama animator2 indonesia +pengisi2 suaranya +editor2nya +pokoknya semua tim yg terlibat keren bgtt masih ga nyangka ini film bikinan indo,senang;;;;
td abis nntn film jumbo asli film animasi indo yg menurut gue bagus lucunya dpt bgt pesan ceritanya jg dpt bgtt wkwkk td sempet mau nangis tp ga jd gegara diledekinwkwkk,senang;;;;
film jumbo bagus bgtt ,senang;;;;
membuat petisi film jumbo bikin series tentang nurman!! plis bgt suka bgt personality doi. somehow ku ngeliat sekelibat sisi masa kecilku di dia :(,senang;;;;
saya tuh niat banget pengen nonton jumbo. bangga aja gitu ada animasi indonesia yang keren. ternyata gak cuma animasinya yang bagus. jajan ceritanya juga bagus. semoga semakin banyak film animasi karya anak bangsa ️️️,senang;;;;
si toto pengen nonton jumbo jadilah kita nonton. ternyata baguuuus loh film jumbo. ga nyangka euy film animasi indonesia bagus kek film pixar atau disney. ceritanya juga bagus dan indonesia bgt pake subtitle english pun. cuss pd nonton deh.,senang;;;;
semua harus nonton film jumbo sih. animasinya bagus ceritanya ringan dan oke. bangga banget indonesia ada film begini. kemaren wa nonton bersebelas (without promo!!).,senang;;;;
bisa ga sih bioskop diketatin lagi soal batasan umur mempengaruhi perilaku loh apa yang ditonton itu :(( kek ada film jumbo kenapa ada aja yg masih bawa nonton pabrik gula uncut,marah;;;;
sejujurnya bisa nangis 3x di film jumbo tapi setiap kambing2 skena itu muncul bubar jalan semua rasa haru gw,sedih;;;;
sedih juga lagunya jumbo kalau dipahami maaf ya ngatangatain dontol terus tp sedih dikit terharu khususnya sama film animasi indo yang alhamdulilah semakin maju,sedih;;;;
i udah berharap film jumbo penontonnya murni karena emg sebagus itu animasinya ternyata juga pke buzzer kyk film pabrik gula cuma emg pabrik gula lebih banyak aja ngerekrut buzzernya pantes i bingung kok bisa baru sehari udah 200k + penonton,senang;;;;
yeyyy jumbo terharuu film animasi indo kesayangan~ congratssss.,senang;;;;
jumbo yang paling signifikan naik jumlah penontonnya. ,senang;;;;
kalo ada yg masih ragu bimbang bingung mau nonton apa dari sekian film yg ada di bioskop sekarang nonton jumbo!!! gak akan nyesel serius deh untuk masyarakat indonesia yg tiap bulan disuapin film horor film ini terasa sangat fresh dan berasa perbedaan kuliatasnya ,senang;;;;
sepertinya nonton jumbo bakal ngebalikin semangat gua nonton film lagi at least ik it's gonna be fun experience but i just don't have that mood rn.,senang;;;;
betul itu pure dari pendapat saya pribadi mas dan juga hasil tukar fikiran saya setelah menonton dengan beberapa kerabat saya yg juga bbrp dari mereka telah memiliki anak di acara preview screening session:jumbo tapi balik lagi kami enjoy menonton film jumbo secara overall,senang;;;;
ini dia guys salah satu editor dari trailer film jumbo mari kita serbu dengan lope lope yang banyak ,senang;;;;
film jumbo bagus bgttt aaaaaaaaa 10000000000/10,senang;;;;
favorit bngtt juga sama semua soundtrack di film jumbo ini. paling fav sama lagunya pak maliq.,senang;;;;
mereka oshi-ku di film jumbo,senang;;;;
